1068002 function calls in 31.311 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5338    4.089    0.001    4.089    0.001 {method 'setWidget' of 'PySide2.QtWidgets.QGraphicsProxyWidget' objects}
    34766    0.010    0.000    0.010    0.000 {method 'setWidth' of 'PySide2.QtGui.QPen' objects}
        1    0.000    0.000    0.000    0.000 {method 'setWindowIcon' of 'PySide2.QtWidgets.QWidget' objects}
        2    0.000    0.000    0.000    0.000 {method 'setWindowTitle' of 'PySide2.QtWidgets.QWidget' objects}
      894    0.000    0.000    0.000    0.000 {method 'setZValue' of 'PySide2.QtWidgets.QGraphicsItem' objects}
     1266    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.002    0.002    0.008    0.008 {method 'show' of 'PySide2.QtWidgets.QWidget' objects}
    19124    0.161    0.000    0.161    0.000 {method 'simplified' of 'PySide2.QtGui.QPainterPath' objects}
     8287    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'startTimer' of 'PySide2.QtCore.QObject' objects}
     6298    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      996    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'text' of 'PySide2.QtWidgets.QAction' objects}
     2694    0.001    0.000    0.001    0.000 {method 'text' of 'PySide2.QtWidgets.QLineEdit' objects}
      856    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
        8    0.000    0.000    0.000    0.000 {method 'transform' of 'PySide2.QtWidgets.QGraphicsView' objects}
        3    0.000    0.000    0.000    0.000 {method 'type' of 'PySide2.QtCore.QEvent' objects}
     1139    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 {method 'value' of 'PySide2.QtWidgets.QAbstractSlider' objects}
     1039    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       21    0.000    0.000    0.000    0.000 {method 'verticalScrollBar' of 'PySide2.QtWidgets.QAbstractScrollArea' objects}
     1767    0.000    0.000    0.000    0.000 {method 'width' of 'PySide2.QtCore.QRectF' objects}
    30302    0.003    0.000    0.003    0.000 {method 'x' of 'PySide2.QtCore.QPointF' objects}
       12    0.000    0.000    0.000    0.000 {method 'y' of 'PySide2.QtCore.QPoint' objects}
    19088    0.002    0.000    0.002    0.000 {method 'y' of 'PySide2.QtCore.QPointF' objects}
