1068002 function calls in 31.311 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      894    0.001    0.000    0.001    0.000 editor.py:692(removeAllEdges)
     1788    0.001    0.000    0.002    0.000 editor.py:697(addEdge)
     6222    0.012    0.000    0.063    0.000 editor.py:702(setIsOutput)
     4510    0.005    0.000    0.145    0.000 editor.py:711(setName)
    11214    0.029    0.000    0.041    0.000 editor.py:715(getCirclePos)
    92200    0.038    0.000    0.038    0.000 editor.py:722(getCircleBounds)
    66928    0.088    0.000    0.136    0.000 editor.py:730(boundingRect)
    25272    0.129    0.000    0.290    0.000 editor.py:733(paint)
     2602    0.001    0.000    0.002    0.000 editor.py:744(remove)
     3426    0.041    0.000    0.063    0.000 editor.py:751(__init__)
     3426    0.054    0.000    2.733    0.001 editor.py:762(__init__)
     6850    0.024    0.000    0.403    0.000 editor.py:773(setChecked)
     3426    0.003    0.000    0.010    0.000 editor.py:782(setText)
      856    0.016    0.000    0.115    0.000 editor.py:787(__init__)
      856    0.010    0.000    1.039    0.001 editor.py:817(__init__)
     1055    0.033    0.000    0.984    0.001 editor.py:827(__init__)
     1054    0.058    0.000    0.096    0.000 editor.py:848(initLayout)
       12    0.000    0.000    0.000    0.000 editor.py:86(record)
     1054    0.002    0.000    0.007    0.000 editor.py:865(setName)
      330    0.000    0.000    0.006    0.000 editor.py:869(setDefault)
     2107    0.004    0.000    0.030    0.000 editor.py:875(setValue)
      724    0.009    0.000    0.070    0.000 editor.py:908(initLayout)
      724    0.002    0.000    0.019    0.000 editor.py:914(setDefault)
      724    0.001    0.000    0.001    0.000 editor.py:915(<listcomp>)
     1735    0.001    0.000    0.002    0.000 editor.py:931(getValue)
      330    0.001    0.000    0.036    0.000 editor.py:937(initLayout)
      958    0.001    0.000    0.001    0.000 editor.py:940(getValue)
        1    0.000    0.000    0.001    0.001 editor.py:950(initLayout)
       16    0.000    0.000    0.000    0.000 editor.py:970(setGeometry)
        2    0.000    0.000    0.000    0.000 editor.py:975(setValue)
      856    0.024    0.000    1.123    0.001 editor.py:983(__init__)
      856    0.002    0.000    0.002    0.000 enum.py:358(__call__)
      856    0.001    0.000    0.001    0.000 enum.py:670(__new__)
     1127    0.001    0.000    0.001    0.000 fileio.py:13(getFrameFiles)
     1127    0.001    0.000    0.001    0.000 fileio.py:28(getFrameCount)
     1127    0.002    0.000    0.002    0.000 fileio.py:7(isIOPathChanged)
        6    0.000    0.000    0.009    0.001 launch.py:58(getDescriptors)
        6    0.001    0.000    0.006    0.001 launch.py:61(<listcomp>)
        6    0.000    0.000    0.000    0.000 launch.py:62(<dictcomp>)
      996    0.002    0.000    0.005    0.000 launch.py:67(parse_descriptor_line)
      996    0.000    0.000    0.000    0.000 launch.py:72(<listcomp>)
      996    0.000    0.000    0.000    0.000 launch.py:73(<listcomp>)
      996    0.000    0.000    0.000    0.000 launch.py:74(<listcomp>)
        1    0.066    0.066   30.940   30.940 main.py:11(main)
        1    0.000    0.000    0.010    0.010 mainwindow.py:12(__init__)
        1    0.000    0.000    0.038    0.038 mainwindow.py:24(__init__)
        2    0.000    0.000    0.009    0.005 mainwindow.py:57(keyPressEvent)
     1126    0.011    0.000    0.710    0.001 mainwindow.py:63(timerEvent)
        1    0.000    0.000    0.000    0.000 mainwindow.py:68(closeEvent)
        1    0.000    0.000    0.001    0.001 nodepref.py:138(__init__)
        1    0.000    0.000    0.001    0.001 nodepref.py:141(initLabel)
        1    0.000    0.000    0.001    0.001 nodepref.py:166(__init__)
        1    0.000    0.000    0.006    0.006 nodepref.py:170(initSockets)
        1    0.000    0.000    0.006    0.006 nodepref.py:228(load)
        5    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
        5    0.000    0.000    0.000    0.000 os.py:754(encode)
      861    0.002    0.000    0.003    0.000 posixpath.py:150(dirname)
      861    0.004    0.000    0.006    0.000 posixpath.py:334(normpath)
      861    0.001    0.000    0.011    0.000 posixpath.py:372(abspath)
     2583    0.001    0.000    0.001    0.000 posixpath.py:41(_get_sep)
      861    0.002    0.000    0.004    0.000 posixpath.py:60(isabs)
      861    0.003    0.000    0.004    0.000 posixpath.py:71(join)
        6    0.000    0.000    0.002    0.000 run.py:86(dumpDescriptors)
        1    0.000    0.000    0.001    0.001 timeline.py:103(__init__)
        1    0.000    0.000    0.000    0.000 timeline.py:13(__init__)
        1    0.000    0.000    0.000    0.000 timeline.py:150(initShortcuts)
        1    0.000    0.000    0.000    0.000 timeline.py:169(setEditor)
        1    0.000    0.000    0.000    0.000 timeline.py:173(maxframe_changed)
     1126    0.013    0.000    0.043    0.000 timeline.py:176(on_update)
     1126    0.008    0.000    0.008    0.000 timeline.py:196(get_status_string)
        2    0.000    0.000    0.000    0.000 timeline.py:40(__init__)
        1    0.000    0.000    0.000    0.000 timeline.py:85(__init__)
      856    0.004    0.000    0.005    0.000 uuid.py:138(__init__)
      856    0.001    0.000    0.001    0.000 uuid.py:284(bytes)
      856    0.004    0.000    0.022    0.000 uuid.py:666(uuid1)
        1    0.000    0.000    0.006    0.006 viewport.py:100(initializeGL)
        1    0.000    0.000    0.000    0.000 viewport.py:103(resizeGL)
     1127    0.003    0.000    0.588    0.001 viewport.py:107(paintGL)
     1126    0.004    0.000    0.653    0.001 viewport.py:110(on_update)
        1    0.000    0.000    0.000    0.000 viewport.py:17(__init__)
